"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"1","A.C. Green",1990,"PF",26,"LAL",82,33,4.7,9.8,0.478,0.2,0.6,0.283,4.5,9.3,0.489,0.486,3.4,4.5,0.751,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9,2709,14.7,0.548,0.057,0.459,11.5,18.4,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,0.137,0.3,0,1.6
"2","Adrian Dantley",1980,"SF",23,"UTA",68,39.3,10.7,18.6,0.576,0,0,0,10.7,18.6,0.577,0.576,6.5,7.7,0.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28,2674,24.3,0.635,0.002,0.415,8.3,14,12.3,1.8,0.3,13.5,27.8,9.5,1.1,10.5,0.189,5.6,-1.9,3.8
"3","Adrian Dantley",1981,"SF",24,"UTA",80,42.7,11.4,20.3,0.559,0,0.1,0.286,11.3,20.3,0.56,0.559,7.9,9.8,0.806,2.4,4,6.4,4,1.4,0.2,3.5,3.1,30.7,3417,24.3,0.622,0.004,0.482,6.5,10.5,16.3,1.6,0.3,12.5,28.4,12.3,1.3,13.6,0.191,6.4,-1.8,5.7
"4","Adrian Dantley",1982,"SF",25,"UTA",81,39.8,11.2,19.6,0.57,0,0,0.333,11.1,19.5,0.57,0.57,8,10.1,0.792,2.9,3.5,6.4,4,1.2,0.2,3.7,3.1,30.3,3222,24.2,0.631,0.002,0.516,7.6,9.6,15.5,1.4,0.2,13.3,27.9,11.9,0.7,12.6,0.187,6.6,-2,5.3
"5","Adrian Dantley",1984,"SF",27,"UTA",79,37.8,10.2,18.2,0.558,0,0.1,0.25,10.1,18.2,0.559,0.558,10.3,12,0.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,2984,24.6,0.652,0.003,0.658,6.7,9,16.2,0.9,0.1,12.4,28.2,13,1.6,14.6,0.235,6.6,-2.2,4.8
"6","Adrian Dantley",1985,"SF",28,"UTA",55,35.8,9.3,17.5,0.531,0,0,0,9.3,17.5,0.531,0.531,8,9.9,0.804,2.7,3.2,5.9,3.4,1,0.1,3.1,2.4,26.6,1971,21.9,0.607,0,0.565,8,9,15.2,1.3,0.2,12.4,27.7,5.6,2.3,8,0.194,4.5,-0.6,3
"7","Adrian Dantley",1986,"SF",29,"UTA",76,36.1,10.8,19.1,0.563,0,0.1,0.091,10.8,19,0.567,0.563,8.3,10.5,0.791,2.3,2.9,5.2,3.5,0.8,0.1,3,2.7,29.8,2744,24.6,0.629,0.008,0.548,7.2,8.5,16.7,1.1,0.1,11.4,30,10.4,2.3,12.8,0.223,6.7,-1.7,4.8
"8","Al Horford",2010,"C",23,"ATL",81,35.1,5.8,10.5,0.551,0,0,1,5.8,10.4,0.551,0.552,2.6,3.3,0.789,2.9,7,9.9,2.3,0.7,1.1,1.5,2.8,14.2,2845,19.4,0.594,0.001,0.319,9.6,23.3,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.5,1.9,3.8
"9","Al Horford",2011,"C",24,"ATL",77,35.1,6.7,12,0.557,0,0.1,0.5,6.6,11.9,0.557,0.558,1.9,2.4,0.798,2.4,7,9.4,3.5,0.8,1,1.5,2.5,15.3,2704,20.7,0.587,0.004,0.204,8.2,23.7,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2,2.4,4.4
"10","Al Horford",2015,"C",28,"ATL",76,30.5,6.8,12.7,0.538,0.1,0.5,0.306,6.7,12.2,0.547,0.544,1.4,1.9,0.759,1.7,5.4,7.1,3.2,0.9,1.3,1.3,1.6,15.2,2318,21.4,0.563,0.037,0.146,6.7,19.8,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.4
"11","Al Horford",2016,"C",29,"ATL",82,32.1,6.5,12.8,0.505,1.1,3.1,0.344,5.4,9.7,0.557,0.547,1.3,1.6,0.798,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2,15.2,2631,19.4,0.565,0.244,0.123,6.3,18.2,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,1.5,2.6,4.1
"12","Al Horford",2018,"C",31,"BOS",72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.553,1.3,1.7,0.783,1.4,5.9,7.3,4.7,0.6,1.1,1.8,1.9,12.9,2277,17.6,0.575,0.3,0.159,5,20.2,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,1.1,2.9,3.5
"13","Alex English",1982,"SF",28,"DEN",82,36.8,10.4,18.9,0.551,0,0.1,0,10.4,18.8,0.553,0.551,4.5,5.4,0.84,2.6,4.2,6.8,5.3,1.1,1.5,3.2,3.2,25.4,3015,22.2,0.596,0.005,0.285,7.7,12,19.9,1.3,2,13,25.3,8.9,0.6,9.5,0.152,4.9,-0.8,4.6
"14","Alex English",1983,"SF",29,"DEN",82,36.4,11.7,22.6,0.516,0,0.1,0.167,11.7,22.5,0.519,0.517,5,6,0.829,3.2,4.1,7.3,4.8,1.4,1.5,3.2,2.9,28.4,2988,24.1,0.561,0.006,0.264,8.9,11.5,19.5,1.7,2.1,11.3,28.9,8.7,1.6,10.3,0.166,5.3,-0.6,5
"15","Alex English",1984,"SF",30,"DEN",82,35,11.1,20.9,0.529,0,0.1,0.143,11,20.8,0.531,0.529,4.3,5.2,0.824,2.6,3,5.6,5,1,1.2,2.7,3.1,26.4,2870,22.2,0.57,0.004,0.249,7.7,9.3,20.9,1.3,1.7,10.5,27.9,7.2,1,8.2,0.136,4.7,-1.4,3.9
"16","Alex English",1985,"SF",31,"DEN",81,36.1,11.6,22.4,0.518,0,0.1,0.2,11.6,22.3,0.519,0.518,4.7,5.7,0.829,2.5,3.1,5.6,4.2,1.2,0.6,3.1,3.2,27.9,2924,21.6,0.561,0.003,0.255,7,9.9,17.9,1.5,0.9,11.1,29.3,6.8,2.1,8.9,0.146,4,-1.6,3.2
"17","Alex English",1986,"SF",32,"DEN",81,37.3,11.7,23.3,0.504,0,0.1,0.2,11.7,23.2,0.505,0.504,6.3,7.3,0.862,2.4,2.6,5,4,0.9,0.4,3.1,2.9,29.8,3024,21.7,0.562,0.003,0.314,6.3,7.7,17,1.1,0.5,10.4,30.5,7.6,2.3,9.8,0.156,4.1,-2,3.2
"18","Alex English",1987,"SF",33,"DEN",82,37.6,11.8,23.4,0.503,0,0.2,0.267,11.7,23.2,0.504,0.504,5,5.9,0.844,1.8,2.4,4.2,5.1,0.9,0.3,2.6,2.6,28.6,3085,20.5,0.549,0.008,0.254,4.7,7.2,21.6,1.1,0.4,9.1,29.2,7,1.1,8.1,0.126,3.8,-2.8,2.3
"19","Alex English",1988,"SF",34,"DEN",80,35.2,10.5,21.3,0.495,0,0.1,0,10.5,21.2,0.496,0.495,3.9,4.7,0.828,2.1,2.6,4.7,4.7,0.9,0.3,2.3,2.4,25,2818,19.8,0.535,0.004,0.222,6,8,20.5,1.1,0.5,8.8,28.4,5.3,2.2,7.6,0.129,3,-1.6,2.5
"20","Alex English",1989,"SF",35,"DEN",82,36.5,11.3,22.9,0.491,0,0.1,0.25,11.2,22.8,0.492,0.492,4,4.6,0.858,1.8,2.2,4,4.7,0.8,0.1,2.4,2.1,26.5,2990,19,0.531,0.004,0.201,4.8,6.5,19.7,1,0.2,8.8,28.8,5.1,1.7,6.8,0.11,2.5,-2.7,1.3
"21","Allan Houston",2000,"SG",28,"NYK",82,38.6,7.5,15.5,0.483,1.3,3,0.436,6.2,12.5,0.494,0.525,3.4,4.1,0.838,0.5,2.8,3.3,2.7,0.8,0.2,2.3,2.7,19.7,3169,16.5,0.569,0.191,0.263,1.5,8.5,13.2,1.1,0.3,11.6,24,5.5,3.1,8.6,0.13,2.2,-0.7,2.8
"22","Allan Houston",2001,"SG",29,"NYK",78,36.6,6.9,15.5,0.449,1.2,3.2,0.381,5.7,12.3,0.467,0.488,3.6,3.9,0.909,0.3,3.4,3.7,2.2,0.7,0.1,2.1,2.4,18.7,2858,16.1,0.543,0.209,0.254,0.9,10.8,12,1,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.2,-0.9,1.6
"23","Allen Iverson",2000,"SG",24,"PHI",70,40.8,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21,0.435,0.446,6.3,8.9,0.713,1,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,2853,20,0.496,0.151,0.358,2.7,7.7,23,2.6,0.1,10.3,34.4,3.3,3.6,6.9,0.116,3.4,-0.8,3.3
"24","Allen Iverson",2001,"SG",25,"PHI",71,42,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,2979,24,0.518,0.169,0.397,1.9,8.3,23,3.2,0.5,10,35.9,7.3,4.5,11.8,0.19,5,-0.1,5.1
"25","Allen Iverson",2002,"SG",26,"PHI",60,43.7,11.1,27.8,0.398,1.3,4.5,0.291,9.8,23.4,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4,1.7,31.4,2622,21.9,0.489,0.161,0.351,1.9,9.6,27.6,3.5,0.4,11,37.8,2.6,4.3,6.9,0.126,3.7,0.2,3.9
"26","Allen Iverson",2003,"SG",27,"PHI",82,42.5,9.8,23.7,0.414,1,3.7,0.277,8.8,20,0.44,0.436,7,9,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,3485,21.2,0.5,0.156,0.379,2.3,9.5,25.1,3.4,0.3,11.2,32.9,5,4.2,9.2,0.127,3.1,-0.3,4.2
"27","Allen Iverson",2004,"SG",28,"PHI",48,42.5,9.1,23.4,0.387,1.2,4.1,0.286,7.9,19.3,0.408,0.412,7.1,9.5,0.745,0.7,3,3.7,6.8,2.4,0.1,4.4,1.8,26.4,2040,19.3,0.478,0.177,0.404,2,8.2,34.4,3.1,0.2,13.6,35.3,0.5,2.3,2.8,0.066,3.1,-0.6,2.3
"28","Allen Iverson",2005,"PG",29,"PHI",75,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4,7.9,2.4,0.1,4.6,1.9,30.7,3174,23.2,0.532,0.186,0.432,1.8,8.9,37.6,2.9,0.2,13.7,35,5.3,3.7,9,0.136,4.8,-0.5,5
"29","Allen Iverson",2006,"PG",30,"PHI",72,43.1,11.3,25.3,0.447,1,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33,3103,25.9,0.543,0.122,0.455,1.7,7.1,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,6,-2.5,4.3
"30","Allen Iverson",2008,"SG",32,"DEN",82,41.8,8.7,19,0.458,1.2,3.4,0.345,7.5,15.6,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3,7.1,2,0.1,3,1.3,26.4,3424,20.9,0.567,0.177,0.512,1.5,6.1,27.4,2.2,0.2,11.4,26.7,8.9,2.8,11.6,0.163,3.5,-1.9,3.1
"33","Allen Iverson",2009,"PG-SG",33,"TOT",57,36.7,6.1,14.6,0.417,0.5,1.7,0.283,5.6,12.9,0.435,0.434,4.8,6.1,0.781,0.5,2.5,3,5,1.5,0.1,2.6,1.5,17.5,2093,15.8,0.504,0.119,0.416,1.7,8.2,23.1,2.3,0.2,12.9,25.7,0.9,1.9,2.9,0.066,0,-0.7,0.7
"34","Alonzo Mourning",1995,"C",24,"CHH",77,38.2,7.4,14.3,0.519,0.1,0.4,0.324,7.3,13.9,0.525,0.524,6.4,8.4,0.761,2.6,7.3,9.9,1.4,0.6,2.9,3.1,3.6,21.3,2941,20.1,0.593,0.031,0.585,8.4,21.6,6.6,0.9,5.5,14.8,25.6,4.3,5.1,9.4,0.153,-0.8,2.1,2.5
"35","Alonzo Mourning",1996,"C",25,"MIA",70,38.2,8,15.4,0.523,0.1,0.4,0.3,7.9,14.9,0.53,0.527,7,10.2,0.685,3.1,7.3,10.4,2.3,1,2.7,3.7,3.5,23.2,2671,22.7,0.584,0.028,0.662,9.7,21.7,11.4,1.4,5.5,15.9,28.1,4.4,5.5,9.9,0.178,0.8,3.7,4.3
"36","Alonzo Mourning",2000,"C",29,"MIA",79,34.8,8.3,15,0.551,0,0.1,0,8.3,14.9,0.553,0.551,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9,21.7,2748,25.8,0.596,0.003,0.492,9.5,21.6,8.7,0.8,7.8,13.1,28.1,7.3,5.6,12.9,0.226,1.7,2.9,4.6
"37","Alonzo Mourning",2002,"C",31,"MIA",75,32.7,6,11.5,0.516,0,0,0.333,5.9,11.5,0.517,0.517,3.8,5.7,0.657,2.4,6,8.4,1.2,0.4,2.5,2.4,3.4,15.7,2455,18.9,0.558,0.003,0.498,8.7,21.3,6.8,0.6,5.8,14.7,24.1,2.6,4.8,7.4,0.145,-1.3,2.5,1.9
"38","Alvin Robertson",1986,"SG",23,"SAS",82,35.1,6.9,13.3,0.514,0.1,0.4,0.276,6.8,13,0.521,0.518,3.2,4,0.795,2.2,4,6.2,5.5,3.7,0.5,3.1,3.6,17,2878,19.5,0.563,0.027,0.299,7.5,12.8,21.8,4.8,0.8,17.1,20.9,4,4.6,8.6,0.143,3,3.6,6.2
"39","Alvin Robertson",1987,"SG",24,"SAS",81,33.3,7.3,15.6,0.466,0.2,0.6,0.271,7.1,15,0.474,0.471,3,4,0.753,2.3,2.9,5.2,5.2,3.2,0.4,3,3.3,17.7,2697,18.5,0.51,0.038,0.256,7.3,10.1,23.2,4.6,0.7,14.7,24.5,1.8,3.4,5.3,0.094,1.9,2.1,4
"40","Alvin Robertson",1988,"SG",25,"SAS",82,36.3,8,17.2,0.465,0.3,1.2,0.284,7.7,16,0.478,0.475,3.3,4.5,0.748,2,4.1,6.1,6.8,3,0.8,3.1,3.7,19.6,2978,18.9,0.513,0.067,0.259,5.9,12.2,26.1,3.8,1.3,13.8,24.1,3.1,2.8,5.8,0.094,2.6,1.5,4.5
"41","Alvin Robertson",1991,"SG",28,"MIL",81,32.1,5.4,11.2,0.485,0.3,0.8,0.365,5.1,10.4,0.493,0.497,2.5,3.2,0.757,2.4,3.3,5.7,5.5,3,0.2,2.6,3.4,13.6,2598,18.6,0.538,0.07,0.291,8.6,12.5,25.4,4.7,0.4,17.2,20.3,3.4,4.3,7.7,0.142,2.9,3.2,5.3
"42","Amar'e Stoudemire",2005,"C",22,"PHO",80,36.1,9.3,16.7,0.559,0,0.2,0.188,9.3,16.5,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1,1.6,2.4,3.5,26,2889,26.6,0.617,0.012,0.595,8.5,17.4,7.7,1.3,3,10.1,28.3,11.3,3.3,14.6,0.243,3.4,0,3.9
"43","Amar'e Stoudemire",2007,"C",24,"PHO",82,32.8,7.4,12.9,0.575,0,0,0,7.4,12.8,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1,1,1.3,2.8,3.6,20.4,2689,23.1,0.637,0.003,0.555,10.1,23.3,5,1.5,2.9,15,25.8,7.2,4,11.2,0.201,0.9,0.7,2.4
"44","Amar'e Stoudemire",2008,"C",25,"PHO",79,33.9,9,15.3,0.59,0.1,0.4,0.161,9,14.9,0.601,0.592,7,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,2677,27.6,0.656,0.026,0.571,8.2,21.1,7.5,1.2,4,10.3,28.2,10.9,3.8,14.6,0.262,3.5,0.4,4
"45","Amar'e Stoudemire",2009,"PF",26,"PHO",53,36.8,7.6,14.1,0.539,0.1,0.1,0.429,7.6,14,0.54,0.541,6.1,7.3,0.835,2.2,5.9,8.1,2,0.9,1.1,2.8,3.1,21.4,1948,20.3,0.617,0.009,0.517,7.2,18.1,8.3,1.3,2.1,14,24.2,4.6,1.4,6.1,0.149,1.3,-0.3,1.5
"46","Amar'e Stoudemire",2010,"PF",27,"PHO",82,34.6,8.6,15.4,0.557,0,0.1,0.167,8.6,15.3,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1,0.6,1,2.6,3.4,23.1,2838,22.6,0.615,0.005,0.5,9.7,18.9,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,1.6,-1.3,1.6
"47","Amar'e Stoudemire",2011,"C",28,"NYK",78,36.8,9.5,19,0.502,0.1,0.3,0.435,9.4,18.7,0.503,0.505,6.1,7.7,0.792,2.5,5.6,8.1,2.6,0.9,1.9,3.2,3.5,25.3,2870,22.7,0.565,0.016,0.403,7.8,17.6,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8,0.134,0.8,-0.1,1.9
"48","Andre Drummond",2016,"C",22,"DET",81,32.9,6.8,13.1,0.521,0,0.1,0.333,6.8,13,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,16.2,2666,21.2,0.499,0.006,0.553,15.6,34.2,4.4,2.3,3.2,10.5,24.1,2,5.5,7.4,0.133,-2.1,1.6,1
"49","Andre Drummond",2018,"C",24,"DET",78,33.7,6,11.3,0.529,0,0.1,0,6,11.2,0.536,0.529,3.1,5.1,0.605,5.1,10.9,16,3,1.5,1.6,2.6,3.2,15,2625,22.9,0.555,0.012,0.448,16.4,36.4,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,0.2,5.3,5
"50","Andre Iguodala",2012,"SF",28,"PHI",62,35.6,4.6,10.2,0.454,1.2,3.1,0.394,3.4,7.1,0.481,0.514,2,3.2,0.617,0.9,5.2,6.1,5.5,1.7,0.5,1.9,1.5,12.4,2209,17.6,0.537,0.305,0.31,2.8,16.4,23.7,2.6,1,13.8,17.7,3.1,4.2,7.3,0.158,1.7,2.7,3.6
"51","Andrei Kirilenko",2004,"PF",22,"UTA",78,37.1,5.3,11.9,0.443,0.9,2.6,0.338,4.4,9.4,0.471,0.479,5,6.4,0.79,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5,2895,22.6,0.559,0.216,0.533,9.5,17.5,15.7,2.9,6.3,15.8,21.9,6.5,5,11.6,0.192,3.6,4.7,7.5
"52","Andrew Bynum",2012,"C",24,"LAL",60,35.2,7.4,13.3,0.558,0,0.1,0.2,7.4,13.2,0.56,0.558,3.9,5.6,0.692,3.2,8.6,11.8,1.4,0.5,1.9,2.5,1.7,18.7,2112,22.9,0.594,0.006,0.425,10.6,26.1,7.4,0.7,4,13.9,23.8,4.8,3.3,8,0.183,0.7,1.2,2
"53","Andrew Toney",1983,"SG",25,"PHI",81,30.5,7.7,15.4,0.501,0.3,0.9,0.289,7.5,14.5,0.514,0.51,4,5.1,0.788,0.5,2.3,2.8,4.5,1,0.2,3.3,3.1,19.7,2474,17.9,0.558,0.061,0.329,1.9,7.5,22.5,1.5,0.4,15.9,27.3,4.6,2.7,7.3,0.141,2,-1.4,1.6
"54","Andrew Toney",1984,"SG",26,"PHI",78,32.8,7.6,14.4,0.527,0.2,0.5,0.316,7.4,13.9,0.534,0.532,5,6,0.839,0.7,1.7,2.4,4.8,0.9,0.3,3.8,3.2,20.4,2556,17.3,0.597,0.034,0.413,2.6,5.9,23.7,1.3,0.5,18.3,26.3,4.2,2.2,6.4,0.12,1.8,-2,1.1
"55","Anfernee Hardaway",1995,"PG",23,"ORL",77,37.7,7.6,14.8,0.512,1.1,3.2,0.349,6.5,11.6,0.558,0.55,4.6,6,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,2.1,20.9,2901,20.8,0.599,0.218,0.405,5.7,7.5,28.5,2.3,0.6,16.1,23.7,8.2,2.5,10.7,0.177,4.9,-0.7,4.5
"56","Anfernee Hardaway",1996,"PG",24,"ORL",82,36.8,7.6,14.8,0.513,1.1,3.5,0.314,6.5,11.4,0.573,0.549,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2,0.5,2.8,2,21.7,3015,24.6,0.605,0.233,0.477,5.1,8.5,32.2,2.9,1,13.5,25.5,11,3.4,14.4,0.229,6.4,0,6.4
"57","Anfernee Hardaway",1997,"PG",25,"ORL",59,37.6,7.1,15.9,0.447,1.4,4.5,0.318,5.7,11.4,0.499,0.493,4.8,5.8,0.82,1.4,3.1,4.5,5.6,1.6,0.6,2.5,2.1,20.5,2221,21.4,0.554,0.284,0.367,4.2,9.8,28.5,2.3,1.2,11.7,25.7,5.8,2.2,8.1,0.175,4.7,0,3.8
"58","Anfernee Hardaway",1998,"SG",26,"ORL",19,32.9,5.4,14.4,0.377,0.8,2.6,0.3,4.6,11.7,0.395,0.405,4.7,6.2,0.763,0.4,3.6,4,3.6,1.5,0.8,2.4,2.4,16.4,625,15.9,0.479,0.183,0.432,1.5,13.1,20.4,2.5,1.7,12.4,27.2,0.3,0.8,1.1,0.085,-0.2,0.3,0.3
"59","Antawn Jamison",2005,"PF",28,"WAS",68,38.3,7.6,17.5,0.437,1,3.1,0.341,6.6,14.4,0.457,0.466,3.3,4.4,0.76,2.4,5.3,7.7,2.3,0.8,0.2,1.7,2.2,19.6,2605,16.9,0.506,0.175,0.249,6.7,16.1,10.7,1.1,0.5,8.2,24.1,3.8,1.7,5.4,0.1,0.6,-1.8,0.5
"60","Antawn Jamison",2008,"PF",31,"WAS",79,38.7,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,2.5,21.4,3061,20.3,0.525,0.25,0.309,8,23.3,7.2,1.9,0.9,6.6,25.9,6,3.2,9.2,0.144,1.8,-1.4,1.8
"61","Anthony Davis",2014,"PF",20,"NOP",67,35.2,7.8,15,0.519,0,0.1,0.222,7.8,14.9,0.522,0.52,5.2,6.6,0.791,3.1,7,10.1,1.6,1.3,2.8,1.6,3,20.8,2358,26.5,0.582,0.009,0.438,10,23.3,8,2,6.7,8.3,25.2,7.2,3.2,10.4,0.212,2.3,2.2,3.9
"62","Anthony Davis",2016,"C",22,"NOP",61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7,0.758,2.1,8.1,10.2,1.9,1.3,2,2,2.4,24.3,2164,25,0.559,0.095,0.379,6.4,26.4,10,1.8,4.7,8.4,29.6,4.4,2.8,7.2,0.16,1,1.2,2.3
"63","Anthony Davis",2017,"C",23,"NOP",75,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28,2708,27.5,0.58,0.088,0.424,6.7,27.9,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.195,1.4,2.3,3.9
"64","Anthony Davis",2018,"PF",24,"NOP",75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,2727,28.9,0.612,0.111,0.409,7.7,24.8,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,2.8,2.3,4.9
"65","Anthony Mason",2001,"PF",34,"MIA",80,40.7,5.8,11.9,0.482,0,0,0,5.8,11.9,0.482,0.482,4.6,5.9,0.781,2.1,7.5,9.6,3.1,1,0.3,2.2,2.9,16.1,3254,17.4,0.555,0,0.497,6.2,21.9,14.2,1.4,0.6,13.3,20,6,5.6,11.6,0.171,0.3,2.3,3.8
"66","Antoine Walker",1998,"PF",21,"BOS",82,39.9,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,3268,17.8,0.481,0.171,0.277,9,22.3,15.4,2.2,1.4,13.2,29.2,0.8,4,4.7,0.07,0.4,0.3,2.2
"67","Antoine Walker",2002,"PF",25,"BOS",81,42,8.2,20.9,0.394,2.7,8,0.344,5.5,12.9,0.425,0.46,3,4,0.741,1.9,7,8.9,5,1.5,0.5,3.1,2.9,22.1,3406,17.1,0.49,0.382,0.192,4.7,18.6,22.8,1.9,0.9,12.1,27.8,1.5,5.2,6.7,0.094,1.8,1.2,4.3
"68","Antoine Walker",2003,"PF",26,"BOS",78,41.5,7.7,19.9,0.388,2.4,7.5,0.323,5.3,12.5,0.427,0.449,2.3,3.7,0.615,1.3,5.9,7.2,4.8,1.5,0.4,3.3,2.8,20.1,3235,14.6,0.467,0.375,0.184,3.4,16.7,23.3,1.9,0.8,13.4,27.9,-1.6,4.2,2.6,0.039,0,0.4,1.9
"69","Antonio Davis",2001,"C",32,"TOR",78,35,4.8,11.1,0.433,0,0,0,4.8,11.1,0.434,0.433,4.1,5.4,0.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7,2729,16.5,0.508,0.001,0.488,11,21.7,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.9,0.8,1.3
"70","Antonio McDyess",2001,"PF",26,"DEN",70,36.5,8.2,16.6,0.495,0,0,0,8.2,16.6,0.495,0.495,4.3,6.2,0.7,3.4,8.6,12,2.1,0.6,1.5,2.3,3.1,20.8,2555,22,0.538,0,0.373,10.1,26.1,10.8,0.9,2.7,10.7,26.5,5.2,2.6,7.8,0.146,1,0.1,2
"71","Artis Gilmore",1981,"C",31,"CHI",82,34.5,6.7,10,0.67,0,0,0,6.7,10,0.67,0.67,4.6,6.5,0.705,2.7,7.4,10.1,2.1,0.6,2.4,2.9,3.6,17.9,2832,21.7,0.699,0,0.652,9.2,23.5,8.9,0.8,4,18.4,18.5,8.4,3.9,12.3,0.208,3.1,1.7,4.9
"72","Artis Gilmore",1982,"C",32,"CHI",82,34.1,6.7,10.2,0.652,0,0,1,6.6,10.2,0.652,0.653,5.2,6.7,0.768,2.7,7.5,10.2,1.7,0.6,2.7,2.8,3.5,18.5,2796,22.4,0.702,0.001,0.659,9.5,23.7,7.5,0.8,4.3,17.4,19.6,8.3,3.8,12.1,0.208,2.9,1.6,4.6
"73","Artis Gilmore",1983,"C",33,"SAS",82,34.1,6.8,10.8,0.626,0,0.1,0,6.8,10.8,0.63,0.626,4.5,6,0.74,3.6,8.4,12,1.5,0.5,2.3,3.1,3.3,18,2797,21.2,0.668,0.007,0.559,12.1,25.8,6.1,0.7,3.7,18.7,19.4,7.5,3.5,11,0.189,2.5,1.1,4
"74","Artis Gilmore",1986,"C",36,"SAS",71,33.7,6,9.6,0.618,0,0,0,6,9.6,0.619,0.618,4.8,6.8,0.701,2.3,6.1,8.4,1.4,0.5,1.5,2.6,3.4,16.7,2395,17.1,0.661,0.001,0.705,8.1,20.1,5.8,0.8,2.5,17.2,18.2,4.8,2.4,7.1,0.143,0.9,0.6,2.1
"75","B.J. Armstrong",1994,"PG",26,"CHI",82,33.8,5.8,12.3,0.476,0.7,1.6,0.444,5.1,10.6,0.481,0.505,2.4,2.8,0.855,0.3,1.7,2,3.9,1,0.1,1.6,1.8,14.8,2770,14.5,0.547,0.134,0.225,1.2,6,18,1.5,0.2,10.6,19.8,4.9,2.6,7.5,0.13,0.6,-1.5,0.8
