"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"359","Hakeem Olajuwon",1997,"C",34,"HOU",78,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7,9.2,3,1.5,2.2,3.6,3.2,23.2,2852,22.7,0.558,0.011,0.313,7.4,21,16.2,2.1,4.5,14.8,30.4,3.5,5.6,9.1,0.154,-0.2,3.4,3.7
"360","Hersey Hawkins",1991,"SG",24,"PHI",80,38.9,7.4,15.6,0.472,1.4,3.4,0.4,6,12.3,0.491,0.515,6,6.9,0.871,0.6,3.3,3.9,3.7,2.2,0.5,2.7,2.3,22.1,3110,19.4,0.592,0.216,0.44,1.8,9.3,15.3,2.9,0.7,12.5,24,6.5,3.3,9.8,0.151,3.4,0,4.3
"361","Horace Grant",1994,"PF",28,"CHI",70,36.7,6.6,12.5,0.524,0,0.1,0,6.6,12.5,0.528,0.524,2,3.3,0.596,4.4,6.6,11,3.4,1.1,1.2,1.6,2.3,15.1,2570,19.8,0.54,0.007,0.262,13.9,21.1,14.3,1.5,2.2,10,18.7,5.7,4.3,10,0.188,2.5,2.7,4.6
"362","Isaiah Thomas",2016,"PG",26,"BOS",82,32.2,7.2,16.9,0.428,2,5.7,0.359,5.2,11.2,0.462,0.488,5.8,6.6,0.871,0.6,2.4,3,6.2,1.1,0.1,2.7,2,22.2,2644,21.5,0.562,0.336,0.394,1.8,8,32.7,1.7,0.3,11.9,29.6,7.2,2.5,9.7,0.177,5,-2,3.3
"363","Isaiah Thomas",2017,"PG",27,"BOS",76,33.8,9,19.4,0.463,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,2569,26.5,0.625,0.439,0.441,1.9,7,32.5,1.4,0.4,10.7,34,10.9,1.6,12.5,0.234,8.7,-3.3,4.8
"364","Isiah Thomas",1982,"PG",20,"DET",72,33.8,6.3,14.8,0.424,0.2,0.8,0.288,6.1,14,0.432,0.432,4.2,6,0.704,0.8,2.1,2.9,7.8,2.1,0.2,4.2,3.5,17,2433,14.5,0.487,0.055,0.402,2.5,7.1,32.6,2.8,0.4,19.2,25,-0.2,2.5,2.3,0.046,-0.2,-0.9,0.6
"365","Isiah Thomas",1983,"PG",21,"DET",81,38.2,9,19,0.472,0.4,1.5,0.288,8.5,17.4,0.488,0.483,4.5,6.4,0.71,1.3,2.8,4.1,7.8,2.5,0.4,4,3.9,22.9,3093,18.9,0.525,0.081,0.337,3.5,7.7,30.3,2.9,0.5,15.6,26.1,4.5,3,7.4,0.115,3.1,-0.7,3.4
"366","Isiah Thomas",1984,"PG",22,"DET",82,36.7,8.2,17.7,0.462,0.3,0.8,0.338,7.9,16.9,0.468,0.47,4.7,6.5,0.733,1.3,2.7,4,11.1,2.5,0.4,3.7,4,21.3,3007,20.9,0.52,0.045,0.365,3.5,8.2,41.5,3.1,0.6,15.4,25.4,5.7,3.4,9.1,0.144,4.2,0,4.7
"367","Isiah Thomas",1985,"PG",23,"DET",81,38.1,8,17.4,0.458,0.4,1.4,0.257,7.6,16,0.476,0.468,4.9,6.1,0.809,1.4,3,4.4,13.9,2.3,0.3,3.7,3.6,21.2,3089,22.2,0.529,0.08,0.35,3.7,8.7,47.9,2.8,0.4,15.7,24,7.5,3.6,11.2,0.173,5.2,0,5.6
"368","Isiah Thomas",1986,"PG",24,"DET",77,36.2,7.9,16.2,0.488,0.3,1.1,0.31,7.6,15.1,0.501,0.498,4.7,6,0.79,1.1,2.5,3.6,10.8,2.2,0.3,3.8,3.2,20.9,2790,21.2,0.554,0.067,0.37,3.1,7.6,40.7,2.8,0.4,16.6,24.4,6.1,2.7,8.8,0.151,4.5,-0.5,4.3
