"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"LeSean McCoy","RB","BUF",7,"10/22","TB",1,"W","30-27",1,1,23,91,"23",2,5,31,"12",0,1
"LeSean McCoy","RB","BUF",8,"10/29","OAK",1,"W","34-14",1,1,27,151,"48T",1,6,22,"12",0,0
"LeSean McCoy","RB","BUF",9,"11/02","NYJ",0,"L","21-34",1,1,12,25,"13",0,0,0,"0",0,0
"LeSean McCoy","RB","BUF",10,"11/12","NO",1,"L","10-47",1,1,8,49,"36",0,3,11,"6",0,0
"LeSean McCoy","RB","BUF",11,"11/19","LAC",0,"L","24-54",1,1,13,114,"37",1,1,12,"12T",1,0
"LeSean McCoy","RB","BUF",12,"11/26","KC",0,"W","16-10",1,1,22,49,"14",0,4,30,"24",0,0
"LeSean McCoy","RB","BUF",13,"12/03","NE",1,"L","3-23",1,1,15,93,"18",0,2,9,"6",0,0
"LeSean McCoy","RB","BUF",14,"12/10","IND",1,"W","13-7",1,1,32,156,"25",1,0,0,"0",0,0
"LeSean McCoy","RB","BUF",15,"12/17","MIA",1,"W","24-16",1,1,20,50,"14",1,4,46,"16T",1,0
"LeSean McCoy","RB","BUF",16,"12/24","NE",0,"L","16-37",1,1,17,71,"18",0,5,76,"39",0,0
"LeSean McCoy","RB","BUF",17,"12/31","MIA",0,"W","22-16",1,1,11,10,"5",0,2,22,"18",0,0
"Mark Ingram","RB","NO",1,"09/11","MIN",0,"L","19-29",1,0,6,17,"7",0,5,54,"18",0,0
"Mark Ingram","RB","NO",2,"09/17","NE",1,"L","20-36",1,1,8,52,"28",0,4,24,"14",0,0
"Mark Ingram","RB","NO",3,"09/24","CAR",0,"W","34-13",1,1,14,56,"15",0,2,30,"25",0,0
"Mark Ingram","RB","NO",4,"10/01","MIA",0,"W","20-0",1,1,14,45,"8",0,4,17,"8",0,0
"Mark Ingram","RB","NO",6,"10/15","DET",1,"W","52-38",1,0,25,114,"51",2,5,36,"11",0,1
"Mark Ingram","RB","NO",7,"10/22","GB",0,"W","26-17",1,1,22,105,"23",1,4,5,"4",0,0
"Mark Ingram","RB","NO",8,"10/29","CHI",1,"W","20-12",1,1,18,75,"18",1,6,24,"16",0,2
"Mark Ingram","RB","NO",9,"11/05","TB",1,"W","30-10",1,1,16,77,"32",0,1,2,"2",0,0
"Mark Ingram","RB","NO",10,"11/12","BUF",0,"W","47-10",1,1,21,131,"25",3,0,0,"0",0,0
"Mark Ingram","RB","NO",11,"11/19","WAS",1,"W","34-31",1,1,11,134,"36T",1,3,21,"8",0,0
"Mark Ingram","RB","NO",12,"11/26","LA",0,"L","20-26",1,0,11,31,"7",0,2,5,"5",0,0
"Mark Ingram","RB","NO",13,"12/03","CAR",1,"W","31-21",1,0,14,85,"72",1,6,37,"11",0,0
"Mark Ingram","RB","NO",14,"12/07","ATL",0,"L","17-20",1,1,12,49,"14",0,4,43,"21",0,0
"Mark Ingram","RB","NO",15,"12/17","NYJ",1,"W","31-19",1,1,12,74,"50T",2,5,77,"54",0,0
"Mark Ingram","RB","NO",16,"12/24","ATL",1,"W","23-13",1,1,13,44,"26T",1,3,22,"12",0,0
"Mark Ingram","RB","NO",17,"12/31","TB",0,"L","24-31",1,1,13,35,"10",0,4,19,"13",0,0
